kegg,smiles,mass,formula,pubchem,chebi
C00160,C(C(=O)O)O,76.016,C2H4O3,3698251,CHEBI:17375
C00166,C1=CC=C(C=C1)CC(=O)C(=O)O,164.0473,C9H8O3,997,CHEBI:30851
C00167,C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)O)O,580.0343,C15H22N2O18P2,17473,CHEBI:17200
C00170,CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,297.0896,C11H15N5O3S,439176,CHEBI:17509
C00178,CC1=CNC(=O)NC1=O,126.0429,C5H6N2O2,1135,CHEBI:17821
C00179,C(CCN=C(N)N)CN,130.1218,C5H14N4,199,CHEBI:17431
C00180,C1=CC=C(C=C1)C(=O)O,122.0368,C7H6O2,20144841,CHEBI:30746
C00183,CC(C)[C@@H](C(=O)O)N,117.079,C5H11NO2,6287,CHEBI:16414
C00185,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O,342.1162,C12H22O11,439178,CHEBI:17057
C00187,C[C@H](CCCC(C)C)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,386.3549,C27H46O,5997,CHEBI:16113
C00188,C[C@H]([C@@H](C(=O)O)N)O,119.0582,C4H9NO3,6288,CHEBI:16857
C00189,C(CO)N,61.0528,C2H7NO,700,CHEBI:16000
C00191,[C@@H]1([C@@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O,194.0427,C6H10O7,94715,CHEBI:47952
C00196,C1=CC(=C(C(=C1)O)O)C(=O)O,154.0266,C7H6O4,19,CHEBI:18026
C00197,C([C@H](C(=O)O)O)OP(=O)(O)O,185.9929,C3H7O7P,439183,CHEBI:17794
C00198,C([C@@H]1[C@H]([C@@H]([C@H](C(=O)O1)O)O)O)O,178.0477,C6H10O6,7027,CHEBI:16217
C00208,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O,342.1162,C12H22O11,439186,CHEBI:17306
C00213,CNCC(=O)O,89.0477,C3H7NO2,1088,CHEBI:15611
C00214,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O,242.0903,C10H14N2O5,5789,CHEBI:17748
C00219,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O,304.2402,C20H32O2,444899,CHEBI:15843
C00227,CC(=O)OP(=O)(O)O,139.9875,C2H5O5P,186,CHEBI:15350
C00230,C1=CC(=C(C=C1C(=O)O)O)O,154.0266,C7H6O4,72,NA
C00233,CC(C)CC(=O)C(=O)O,130.063,C6H10O3,70,NA
C00239,C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)O)O,307.0569,C9H14N3O7P,13945,CHEBI:15918
C00243,C([C@@H]1[C@@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O,342.1162,C12H22O11,440995,CHEBI:17716
C00245,C(CS(=O)(=O)O)N,125.0147,C2H7NO3S,1123,CHEBI:15891
C00246,CCCC(=O)O,88.0524,C4H8O2,264,CHEBI:30772
C00248,C1CSSC1CCCCC(=O)N,205.0595,C8H15NOS2,863,CHEBI:17460
C00249,CCCCCCCCCCCCCCCC(=O)O,256.2402,C16H32O2,985,CHEBI:15756
C00250,CC1=NC=C(C(=C1O)C=O)CO,167.0582,C8H9NO3,1050,CHEBI:17310
C00251,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,226.0477,C10H10O6,12039,CHEBI:17333
C00252,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O,342.1162,C12H22O11,439193,CHEBI:28189
C00253,C1=CC(=CN=C1)C(=O)O,123.032,C6H5NO2,938,CHEBI:15940
C00255,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)C[C@@H]([C@@H]([C@@H](CO)O)O)O,376.1383,C17H20N4O6,493570,CHEBI:17015
C00257,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,196.0583,C6H12O7,10690,CHEBI:33198
