kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2
C05623,C01953,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O)O)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,464.0955,316.2402,C21H20O12,C21H32O2
C00695,C01953,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)O)C,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,408.2876,316.2402,C24H40O5,C21H32O2
C05502,C01953,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C)[C@@H](CCC(C)C)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,402.3498,316.2402,C27H46O2,C21H32O2
C00154,C01953,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,1005.3449,316.2402,C37H66N7O17P3S,C21H32O2
C07505,C01953,CCC1(CC(=O)NC1=O)C,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,141.079,316.2402,C7H11NO2,C21H32O2
C06501,C01953,C1=CC(=CC=C1C[C@@H](C(=O)O)N)OP(=O)(O)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,261.0402,316.2402,C9H12NO6P,C21H32O2
C05594,C01953,COC1=C(C=CC(=C1)C(CO)O)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)O)C)C,184.0736,316.2402,C9H12O4,C21H32O2
C07379,C05485,CN(C)CCCN1C2=CC=CC=C2SC3=CC=CC=C31,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CC=C4[C@@]3(CCC(C4)O)C,284.1347,332.2351,C17H20N2S,C21H32O3
C01551,C05485,C1(C(=O)NC(=O)N1)NC(=O)N,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CC=C4[C@@]3(CCC(C4)O)C,158.044,332.2351,C4H6N4O3,C21H32O3
C03139,C05485,C([C@@H](C(=O)O)N=C(N)N)C(=O)O,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CC=C4[C@@]3(CCC(C4)O)C,175.0593,332.2351,C5H9N3O4,C21H32O3
C00430,C05485,C(CC(=O)O)C(=O)CN,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CC=C4[C@@]3(CCC(C4)O)C,131.0582,332.2351,C5H9NO3,C21H32O3
C02846,C05485,CN(C)C1=CC=CC=C1,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)CO)CC=C4[C@@]3(CCC(C4)O)C,121.0891,332.2351,C8H11N,C21H32O3
C01727,C18044,CC1=CC2=C(C=C1C)N=C3C(=N2)C(=O)NC(=O)N3,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C)C,242.0804,396.197,C12H10N4O2,C21H32O5S
C02678,C18044,C(CCCCCC(=O)O)CCCCC(=O)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C)C,230.1518,396.197,C12H22O4,C21H32O5S
C00852,C18044,C1[C@H]([C@H]([C@@H](C[C@@]1(C(=O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O)O)O)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C)C,354.0951,396.197,C16H18O9,C21H32O5S
C00160,C18044,C(C(=O)O)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C)C,76.016,396.197,C2H4O3,C21H32O5S
C00147,C18044,C1=NC2=C(N1)C(=NC=N2)N,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C)C,135.0545,396.197,C5H5N5,C21H32O5S
C06809,C18044,CC(=O)N[C@@H](CS)C(=O)O,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC=C4[C@@]3(CC[C@@H](C4)OS(=O)(=O)O)C)C,163.0303,396.197,C5H9NO3S,C21H32O5S
C00252,C05476,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H](C(O2)O)O)O)O)O)O)O)O,C[C@]12CC[C@H](C[C@H]1CC[C@@H]3[C@@H]2[C@H](C[C@]4([C@H]3CC[C@@H]4C(=O)CO)C)O)O,342.1162,350.2457,C12H22O11,C21H34O4
