kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2
C00251,C11355,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1N)C(=O)O,226.0477,225.0637,C10H10O6,C10H11NO5
C00251,C18054,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1O)C(=O)O,C=C(C(=O)O)O[C@H]1C=CC=C([C@@H]1N)C(=O)O,226.0477,225.0637,C10H10O6,C10H11NO5
C00064,C11355,C(CC(=O)N)[C@@H](C(=O)O)N,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1N)C(=O)O,146.0691,225.0637,C5H10N2O3,C10H11NO5
C00064,C18054,C(CC(=O)N)[C@@H](C(=O)O)N,C=C(C(=O)O)O[C@H]1C=CC=C([C@@H]1N)C(=O)O,146.0691,225.0637,C5H10N2O3,C10H11NO5
C00568,C11355,C1=CC(=CC=C1C(=O)O)N,C=C(C(=O)O)O[C@@H]1C=C(C=C[C@H]1N)C(=O)O,137.0477,225.0637,C7H7NO2,C10H11NO5
C14111,C14114,C1CCC2=C(C1)C=CC(=C2)C(=O)O,C1CCC2=CC=CC=C2C1,176.0837,132.0939,C11H12O2,C10H12
C00019,C19768,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CCl)O)O,398.1372,285.0629,C15H22N6O5S,C10H12ClN5O3
C00019,C19766,C[S+](CC[C@@H](C(=O)[O-])N)C[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CF)O)O,398.1372,269.0924,C15H22N6O5S,C10H12FN5O3
C06232,C18237,O[Mo](=O)(=O)O,C([C@@H]1C(=C([C@H]2[C@@H](O1)NC3=C(N2)C(=O)N=C(N3)N)[S-])[S-])OP(=O)(O)O.O=[Mo+2]=O,163.9007,522.8919,H2MoO4,C10H12MoN5O8PS2
C00078,C00398,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N,C1=CC=C2C(=C1)C(=CN2)CCN,204.0899,160.1,C11H12N2O2,C10H12N2
C00253,C10126,C1=CC(=CN=C1)C(=O)O,C1C=CCN[C@@H]1C2=CN=CC=C2,123.032,160.1,C6H5NO2,C10H12N2
C02937,C17203,C1=CC=C2C(=C1)C(=CN2)C/C=N/O,C1=CC=C2C(=C1)C(=CN2)CCNO,174.0793,176.095,C10H10N2O,C10H12N2O
C00398,C17203,C1=CC=C2C(=C1)C(=CN2)CCN,C1=CC=C2C(=C1)C(=CN2)CCNO,160.1,176.095,C10H12N2,C10H12N2O
C00643,C00780,C1=CC2=C(C=C1O)C(=CN2)C[C@@H](C(=O)O)N,C1=CC2=C(C=C1O)C(=CN2)CCN,220.0848,176.095,C11H12N2O3,C10H12N2O
C15986,C16151,CNCCC/C(=C\1/C=CC(=O)NC1=O)/O,CN1CCC=C1C2=C(NC(=O)C=C2)O,210.1004,192.0899,C10H14N2O3,C10H12N2O2
